title,originallink,link,description,pubDate,nouns
사업보고서를 통해 본 리딩 식품기업 동향 18. 대한제당,http://www.foodnews.co.kr/news/articleView.html?idxno=113550,http://www.foodnews.co.kr/news/articleView.html?idxno=113550,"1인 가구, <b>딩크족</b> 및 맞벌이 가정 증가 등이 가정간편식(HMR) 시장 수요를 견인하고 있으며, 이로 인해 식품산업은 지속적인 성장세를 이어갈 것으로 예상하고 있다. 그럼에도 불구하고, 2025년 글로벌 경제는 '강화되는... ","Thu, 05 Jun 2025 10:26:00 +0900","가구,딩크족,맞벌이,가정,증가,가정,간편식,시장,수요,견인,이로,식품,산업,지속,성장,예상,불구,글로벌,경제,강화"
[책]'<b>딩크족</b>' 부부의 위태로운 신혼생활,http://www.edaily.co.kr/news/newspath.asp?newsid=01731846642197456,https://n.news.naver.com/mnews/article/018/0006029082?sid=103,신간 ‘테트리스 부부’는 10평 남짓의 오피스텔에 살림을 꾸린 ‘<b>딩크족</b>’ 신혼부부의 이야기를 담은 장편소설이다. 소설의 주인공인 지웅과 민서는 결혼 후 얼마 지나지 않아 자녀를 갖지 않고 ‘<b>딩크족</b>’으로... ,"Sun, 01 Jun 2025 14:52:00 +0900","신간,테트리스,부부,남짓,오피스텔,살림,딩크족,신혼부부,이야기,장편소설,소설,주인공,지웅,민서,결혼,얼마,자녀,딩크족"
[21대 대선] “우리는 후보들이 언급하지 않았다”…선거에서 ‘외면받...,https://www.viva100.com/article/20250601500261,https://www.viva100.com/article/20250601500261,"대부분 자녀 계획이 없는 부부(<b>딩크족</b>), 성소수자, 비혼, 청년도 노년도 아닌 애매한 중년층 등이다. 최근... 비슷한 사례로 자녀 계획이 없는 이른바 ‘<b>딩크족</b>’인 40대 B씨 역시 “모든 정치인은 자녀를 키우고, 계획하는... ","Sun, 01 Jun 2025 13:00:00 +0900","대부분,자녀,계획,부부,딩크족,성소수자,비혼,청년,노년,중년,최근,사례,자녀,계획,딩크족,역시,모든,정치인,자녀,계획"
20대 청춘들이 바라보는 ‘연애와 결혼’ | 연애는 ‘학생부종합전형’...,http://monthly.chosun.com/client/news/viw.asp?ctcd=C&nNewsNumb=202506100044,http://monthly.chosun.com/client/news/viw.asp?ctcd=C&nNewsNumb=202506100044,못한다면 <b>딩크족</b>으로 살겠다”는 반응도 있었다. 20대 후반 커플의 경우 “결혼하고 싶지만 결혼비용과 내 집 마련이 어려워 고민이 많다. 상대에게 얘기는 꾸준히 하고 있다”고 했다. 반대로 결혼을 망설이는 경우 “좀... ,"Sat, 31 May 2025 16:48:00 +0900","딩크족,반응,후반,커플,경우,결혼,결혼,비용,마련,고민,상대,얘기,반대,결혼,경우"
세계평화통일가정연합 창립 71주년 기념식 열려,http://sjbnews.com/news/news.php?number=851413,http://sjbnews.com/news/news.php?number=851413,"이런 상황에서 가정의 가치를 강조하는 가정연합의 국제합동축복결혼식은 저출생 원인으로 꼽는 비혼주의, <b>딩크족</b> 문제를 극복할 좋은 방안으로 최근 좋은 평가를 받고 있다. 가정연합은 한국에서 태동해 세계 각국에... ","Thu, 29 May 2025 21:36:00 +0900","상황,가정,가치,강조,가정연,합의,국제,합동,축복,결혼식,출생,원인,꼽는,비혼,주의,딩크족,문제,극복,방안,최근,평가,가정,연합,한국,태동,세계,각국"
"“승자독식 한국사회, 패자에 ‘엑시트 옵션’ 열린사회로 전환해야”",https://www.donga.com/news/Culture/article/all/20250529/131705752/2,https://n.news.naver.com/mnews/article/020/0003638095?sid=103,이 교수는 이를 해결하기 위해 싱글과 <b>딩크족</b>을 포함해 누구나 출산휴가나 육아휴직과 같은 기간 ‘안식 휴가’를 쓸 수 있도록 하자고 제안했다. 비용은 사회보험을 도입해 충당하자는 것이다. 이 교수는 “저소득층과... ,"Thu, 29 May 2025 03:04:00 +0900","교수,해결,싱글,딩크족,포함,누구,출산휴가,육아휴직,기간,안식,휴가,하자,제안,비용,사회,보험,도입,충당,교수,소득"
세계평화통일가정연합 창립 71주년 기념식 성료,https://www.dkilbo.com/news/articleView.html?idxno=498535,https://www.dkilbo.com/news/articleView.html?idxno=498535,"이런 상황에서 가정의 가치를 강조하는 가정연합의 국제합동축복결혼식은 저출생 원인으로 꼽는 비혼주의, <b>딩크족</b> 문제를 극복할 좋은 방안으로 최근 좋은 평가를 받고 있다. 가정연합은 한국에서 태동해 세계 각국에... ","Wed, 28 May 2025 10:46:00 +0900","상황,가정,가치,강조,가정연,합의,국제,합동,축복,결혼식,출생,원인,꼽는,비혼,주의,딩크족,문제,극복,방안,최근,평가,가정,연합,한국,태동,세계,각국"
세계평화통일가정연합 창립 71주년 기념식 성료,http://www.shinailbo.co.kr/news/articleView.html?idxno=2059312,http://www.shinailbo.co.kr/news/articleView.html?idxno=2059312,"이런 상황에서 가정의 가치를 강조하는 가정연합의 국제합동축복결혼식은 저출생 원인으로 꼽는 비혼주의, <b>딩크족</b> 문제를 극복할 좋은 방안으로 최근 좋은 평가를 받고 있다. 가정연합은 한국에서 태동해 세계 각국에... ","Wed, 28 May 2025 10:34:00 +0900","상황,가정,가치,강조,가정연,합의,국제,합동,축복,결혼식,출생,원인,꼽는,비혼,주의,딩크족,문제,극복,방안,최근,평가,가정,연합,한국,태동,세계,각국"
"&quot;애? 개나 키워&quot; 혐오 발언 <b>딩크족</b> 친구, 임신한 후 &quot;축복받았다&quot; 돌변",https://www.news1.kr/society/general-society/5796752,https://n.news.naver.com/mnews/article/421/0008278180?sid=102,"<b>딩크족</b>으로 임신·출산에 대해 혐오 발언을 일삼던 친구가 임신한 뒤 태도를 바꾸고 여기저기 조언하고... A 씨는 &quot;전 딸 하나 있고, 친구는 임신 7개월&quot;이라며 &quot;친구는 <b>딩크족</b>이었는데, 어렸을 때부터 자궁에 질환이 있어... ","Wed, 28 May 2025 10:24:00 +0900","딩크족,임신,출산,대해,혐오,발언,친구,임신,태도,여기저기,조언,하나,친구,임신,개월,라며,친구,딩크족,자궁,질환"
세계평화통일가정연합 창립 71주년 기념식 성료,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202505280940356950903,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202505280940356950903,"이런 상황에서 가정의 가치를 강조하는 가정연합의 국제합동축복결혼식은 저출생 원인으로 꼽는 비혼주의, <b>딩크족</b> 문제를 극복할 좋은 방안으로 최근 좋은 평가를 받고 있다. 가정연합은 한국에서 태동해 세계 각국에... ","Wed, 28 May 2025 10:02:00 +0900","상황,가정,가치,강조,가정연,합의,국제,합동,축복,결혼식,출생,원인,꼽는,비혼,주의,딩크족,문제,극복,방안,최근,평가,가정,연합,한국,태동,세계,각국"
